cntry,essround,n_total,n_covered,pct_covered,w_total,w_covered,w_pct_covered,scheme,is_applicable
ES,1,1670,1412,0.8455089820359282,3310.57815301,2834.4312896,0.8561741057292112,oesch8,TRUE
ES,2,1608,1243,0.7730099502487562,35029441.36417394,26625192.904430225,0.7600804314184957,oesch8,TRUE
ES,3,1814,1632,0.8996692392502756,36143225.64346151,32644277.546247948,0.9031921463864546,oesch8,TRUE
ES,4,2486,2174,0.8744971842316975,3735.41581666,3298.1316769,0.8829356191592627,oesch8,TRUE
ES,5,1840,1614,0.8771739130434782,3814.07645298,3350.55742917,0.8784714911920958,oesch8,TRUE
ES,6,1841,1571,0.8533405757740359,3824.1010348,3258.5235625,0.852101848995844,oesch8,TRUE
ES,7,1880,1675,0.8909574468085106,3853.6845734,3434.5773905,0.8912450734051041,oesch8,TRUE
ES,8,1918,1742,0.908237747653806,3846.64039173,3476.36928563,0.9037416892683662,oesch8,TRUE
ES,9,1613,1446,0.8964662120272784,3845.7482899,3464.6079811,0.9008930694187708,oesch8,TRUE
ES,10,2231,1704,0.7637830569251457,3945.5577545,2946.26781325,0.7467303728832034,oesch8,TRUE
ES,11,1802,1632,0.9056603773584906,4060.28932303,3673.26456473,0.9046804974944047,oesch8,TRUE
GR,1,2511,2065,0.8223815213062525,835.558082858,705.328856503,0.8441410249906803,oesch8,TRUE
GR,2,2363,2020,0.8548455353364367,9124397.722386166,7851053.065944747,0.860446169140858,oesch8,TRUE
GR,4,2019,1786,0.8845963348192174,918.556679543,804.310774073,0.8756245444463595,oesch8,TRUE
GR,5,2649,2201,0.830879577198943,923.397126508,770.697385966,0.8346326448735412,oesch8,TRUE
GR,10,2788,2270,0.8142037302725968,903.979693071,716.35207584,0.7924426636248969,oesch8,TRUE
GR,11,2735,2275,0.8318098720292505,875.37244811,723.627211241,0.8266506591604177,oesch8,TRUE
IT,1,1193,968,0.8113998323554066,4832.98189265,3947.82681891,0.8168511504075477,oesch8,TRUE
IT,6,935,787,0.841711229946524,5069.3138885,4304.5161543,0.8491319040363662,oesch8,TRUE
IT,8,2524,2070,0.8201267828843106,5033.8837451,4103.753838,0.8152261843541,oesch8,TRUE
IT,9,2685,2174,0.809683426443203,5125.25484445,4142.00467955,0.8081558488814006,oesch8,TRUE
IT,10,2599,1956,0.7525971527510581,5054.77726903,3747.98434981,0.7414736892114793,oesch8,TRUE
IT,11,2815,2142,0.760923623445826,5044.75599725,3828.14593451,0.7588366883545609,oesch8,TRUE
PT,1,1444,1299,0.899584487534626,782.448687919,696.5206991590001,0.8901806724367652,oesch8,TRUE
PT,2,2008,1694,0.8436254980079682,8465706.938387668,7193555.970668593,0.849728914906029,oesch8,TRUE
PT,3,2180,1908,0.8752293577981651,8583577.54284717,7535702.271504743,0.8779209174599188,oesch8,TRUE
PT,4,2296,1983,0.8636759581881533,848.955974763,741.542620661,0.8734759430464151,oesch8,TRUE
PT,5,2104,1900,0.903041825095057,861.744258018,774.540534667,0.8988055649461856,oesch8,TRUE
PT,6,2117,1893,0.894189891355692,873.922678927,776.547543695,0.8885769444139417,oesch8,TRUE
PT,7,1227,1105,0.9005704971475142,670.7228574393,605.1933897743,0.9023002318495902,oesch8,TRUE
PT,8,1249,1179,0.9439551641313051,858.705332589,799.129605312,0.9306214541635849,oesch8,TRUE
PT,9,1034,981,0.9487427466150871,848.63780698,798.94180664,0.9414402705945303,oesch8,TRUE
PT,10,1813,1679,0.9260893546607832,863.64646047,792.54597194,0.9176740810223354,oesch8,TRUE
PT,11,1367,1280,0.936356986100951,898.87240489,838.7999925,0.9331691438482291,oesch8,TRUE
ES,1,1670,1412,0.8455089820359282,3310.57815301,2834.4312896,0.8561741057292112,oesch5,TRUE
ES,2,1608,1243,0.7730099502487562,35029441.36417394,26625192.904430225,0.7600804314184957,oesch5,TRUE
ES,3,1814,1632,0.8996692392502756,36143225.64346151,32644277.546247948,0.9031921463864546,oesch5,TRUE
ES,4,2486,2174,0.8744971842316975,3735.41581666,3298.1316769,0.8829356191592627,oesch5,TRUE
ES,5,1840,1614,0.8771739130434782,3814.07645298,3350.55742917,0.8784714911920958,oesch5,TRUE
ES,6,1841,1571,0.8533405757740359,3824.1010348,3258.5235625,0.852101848995844,oesch5,TRUE
ES,7,1880,1675,0.8909574468085106,3853.6845734,3434.5773905,0.8912450734051041,oesch5,TRUE
ES,8,1918,1742,0.908237747653806,3846.64039173,3476.36928563,0.9037416892683662,oesch5,TRUE
ES,9,1613,1446,0.8964662120272784,3845.7482899,3464.6079811,0.9008930694187708,oesch5,TRUE
ES,10,2231,1704,0.7637830569251457,3945.5577545,2946.26781325,0.7467303728832034,oesch5,TRUE
ES,11,1802,1632,0.9056603773584906,4060.28932303,3673.26456473,0.9046804974944047,oesch5,TRUE
GR,1,2511,2065,0.8223815213062525,835.558082858,705.328856503,0.8441410249906803,oesch5,TRUE
GR,2,2363,2020,0.8548455353364367,9124397.722386166,7851053.065944747,0.860446169140858,oesch5,TRUE
GR,4,2019,1786,0.8845963348192174,918.556679543,804.310774073,0.8756245444463595,oesch5,TRUE
GR,5,2649,2201,0.830879577198943,923.397126508,770.697385966,0.8346326448735412,oesch5,TRUE
GR,10,2788,2270,0.8142037302725968,903.979693071,716.35207584,0.7924426636248969,oesch5,TRUE
GR,11,2735,2275,0.8318098720292505,875.37244811,723.627211241,0.8266506591604177,oesch5,TRUE
IT,1,1193,968,0.8113998323554066,4832.98189265,3947.82681891,0.8168511504075477,oesch5,TRUE
